grade_level,subject,grade_level_momentum,BOY,MOY,EOY,SOL
4,Math,Grade 4,1418,1475,1433,229
4,Math,Grade 4,1418,1485,1482,246
4,Math,Grade 4,1388,1485,1353,248
4,Math,Grade 4,1466,1441,1491,249
4,Math,Grade 4,1435,1511,1517,260
4,Math,Grade 4,1388,1408,1491,261
4,Math,Grade 4,1375,1453,1482,263
4,Math,Grade 4,1375,1553,1491,265
4,Math,Grade 4,1408,1408,1491,270
4,Math,Grade 4,1375,1441,1491,271
4,Math,Grade 4,1426,1465,1415,271
4,Math,Grade 4,1443,1494,1517,272
4,Math,Grade 4,1375,1385,1471,272
4,Math,Grade 4,1408,1441,1482,275
4,Math,Grade 4,1408,1426,1433,275
4,Math,Grade 4,1375,1385,1460,276
4,Math,Grade 4,1388,1426,1604,279
4,Math,Grade 4,1443,1426,1482,280
4,Math,Grade 4,1504,1485,1471,281
4,Math,Grade 4,1418,1465,1460,281
4,Math,Grade 4,1435,1475,1500,282
4,Math,Grade 4,1408,1408,1415,283
4,Math,Grade 4,1451,1494,1500,285
4,Math,Grade 4,1361,1494,1471,285
4,Math,Grade 4,1480,1465,1471,286
4,Math,Grade 4,1418,1453,1433,286
4,Math,Grade 4,1361,1426,1471,287
4,Math,Grade 4,1474,1494,1460,287
4,Math,Grade 4,1344,1475,1471,288
4,Math,Grade 4,1426,1465,1460,288
4,Math,Grade 4,1426,1453,1500,289
4,Math,Grade 4,1388,1426,1460,289
4,Math,Grade 4,1388,1523,1460,290
4,Math,Grade 4,1399,1426,1460,290
4,Math,Grade 4,1435,1519,1482,290
4,Math,Grade 4,1466,1453,1471,290
4,Math,Grade 4,1466,1599,1604,290
4,Math,Grade 4,1399,1485,1471,291
4,Math,Grade 4,1388,1453,1433,291
4,Math,Grade 4,1388,1453,1391,292
4,Math,Grade 4,1418,1511,1471,292
4,Math,Grade 4,1418,1441,1471,294
4,Math,Grade 4,1418,1441,1415,294
4,Math,Grade 4,1375,1441,1460,295
4,Math,Grade 4,1435,1441,1448,295
4,Math,Grade 4,1426,1453,1448,295
4,Math,Grade 4,1388,1441,1460,296
4,Math,Grade 4,1431,1475,1433,297
4,Math,Grade 4,1418,1519,1471,298
4,Math,Grade 4,1443,1485,1460,298
4,Math,Grade 4,1361,1494,1471,298
4,Math,Grade 4,1418,1426,1448,299
4,Math,Grade 4,1375,1465,1433,299
4,Math,Grade 4,1435,1453,1471,299
4,Math,Grade 4,1388,1426,1433,299
4,Math,Grade 4,1418,1581,1500,300
4,Math,Grade 4,1375,1453,1415,300
4,Math,Grade 4,1435,1465,1500,301
4,Math,Grade 4,1426,1485,1491,301
4,Math,Grade 4,1399,1441,1448,301
4,Math,Grade 4,1399,1453,1433,302
4,Math,Grade 4,1361,1426,1471,302
4,Math,Grade 4,1408,1465,1491,303
4,Math,Grade 4,1458,1485,1482,303
4,Math,Grade 4,1443,1502,1525,303
4,Math,Grade 4,1418,1441,1491,303
4,Math,Grade 4,1489,1511,1542,304
4,Math,Grade 4,1435,1441,1448,304
4,Math,Grade 4,1426,1465,1500,304
4,Math,Grade 4,1418,1453,1491,305
4,Math,Grade 4,1408,1453,1482,305
4,Math,Grade 4,1418,1494,1482,305
4,Math,Grade 4,1375,1485,1491,305
4,Math,Grade 4,1388,1453,1433,306
4,Math,Grade 4,1418,1441,1500,306
4,Math,Grade 4,1388,1494,1482,306
4,Math,Grade 4,1388,1511,1509,306
4,Math,Grade 4,1399,1453,1448,307
4,Math,Grade 4,1458,1494,1460,307
4,Math,Grade 4,1408,1385,1460,307
4,Math,Grade 4,1435,1485,1460,307
4,Math,Grade 4,1426,1485,1460,307
4,Math,Grade 4,1418,1426,1482,308
4,Math,Grade 4,1418,1465,1482,308
4,Math,Grade 4,1418,1408,1448,308
4,Math,Grade 4,1399,1475,1482,309
4,Math,Grade 4,1466,1527,1545,309
4,Math,Grade 4,1435,1475,1460,309
4,Math,Grade 4,1408,1475,1433,309
4,Math,Grade 4,1388,1441,1415,309
4,Math,Grade 4,1451,1475,1415,309
4,Math,Grade 4,1418,1494,1500,309
4,Math,Grade 4,1375,1482,1482,310
4,Math,Grade 4,1435,1485,1448,310
4,Math,Grade 4,1435,1453,1491,310
